<0, Joseph Mallord William Turner, PERSON>
<624, Vlad Dracula, PERSON>
<625, Annie Oakley, PERSON>
<626, Percy Lavon Julian Hall, PERSON>
<627, Franklin D. Roosevelt, PERSON>
<628, Joseph Stalin, PERSON>
<629, John McCrae, PERSON>
<630, Rasputin, PERSON>
<631, William Rufus, PERSON>
<632, King Henry, PERSON>
<633, Alice Roosevelt, PERSON>
<634, Jawaharlal Nehru, PERSON>
<635, Pat Nixon, PERSON>
<636, Lucretia Garfield, PERSON>
<637, Catherine of Aragon, ORGANIZATION>
<638, Indians, ORGANIZATION>
