
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
   441          imagine       16   0.011       2.9
  1483             here       16   0.011       1.6
  1231          meryton       15   0.010       1.7
  2042           hardly       15   0.010       1.9
  2072      particulars       15   0.010       3.2
   171             wait       14   0.010       3.2
   430    hertfordshire       14   0.010       1.9
   433         repeated       14   0.010       2.9
  2432        character       14   0.010       1.4
  2569             seen       14   0.010       1.3

TOPIC 15  (total count=2031)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  2363        certainly       40   0.019       4.2
  2390            happy       40   0.019       3.9
  2085          present       36   0.017       3.9
  1360          certain       34   0.017       4.2
  2647            leave       34   0.017       3.9
  1963         consider       31   0.015       5.1
   157          another       30   0.015       3.5
  2508             take       30   0.015       2.8
  1772    circumstances       28   0.014       5.0
   104             case       24   0.012       3.9
   821            yours       23   0.011       4.5
  1387          perhaps       22   0.011       2.0
  2341        happiness       22   0.011       2.1
  2378           assure       22   0.011       3.2
  2424             fair       22   0.011       4.4
     4            event       21   0.010       4.3
    91          friends       21   0.010       2.4
  1857            meant       21   0.010       3.7
   462           people       20   0.010       2.4
  1617       impossible       20   0.010       2.6
  2026             less       20   0.010       1.8
  2627            madam       20   0.010       4.1
   310           wished       19   0.009       2.6
   690           object       19   0.009       2.3
   383        therefore       18   0.009       1.6
   928              why       18   0.009       2.1
  1291        sometimes       18   0.009       2.7
  1448        advantage       18   0.009       2.8
  1884             best       18   0.009       2.4
  2450            allow       18   0.009       2.9

TOPIC 16  (total count=1487)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   856             mary       39   0.026       6.0
  2423            table       33   0.022       5.3
  1748           others       31   0.020       3.9
  2056             half       31   0.020       3.4
   435             down       29   0.019       3.0
   714     conversation       26   0.017       3.0
  1276           ladies       25   0.017       2.5
   986            kitty       24   0.016       2.5
  1551              sat       24   0.016       3.6
   482            hurst       23   0.015       3.8
  1081             hour       23   0.015       3.5
  1421          library       23   0.015       4.6
  2417             went       22   0.015       2.3
  2509        gentlemen       20   0.013       3.0
  1014             glad       19   0.013       2.9
  1868             play       18   0.012       4.1
   350             book       17   0.011       3.8
  2245          towards       17   0.011       1.7
    15          drawing       16   0.011       3.3
   161           making       16   0.011       2.3
   599            ready       16   0.011       3.4
  1261            doing       16   0.011       2.9
   354            party       14   0.009       1.5
   902             near       14   0.009       2.0
  1612              sit       14   0.009       3.5
  1315            books       13   0.009       3.3
  2300        agreeable       13   0.009       1.7
  2644           seated       13   0.009       3.2
  2724           silent       13   0.009       2.3
   172            began       12   0.008       1.2

TOPIC 17  (total count=1782)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1113             home       38   0.021       4.3
  2169          rosings       33   0.018       4.4
   339           during       27   0.015       4.9
   396         ladyship       25   0.014       3.5
  2648          spirits       25   0.014       3.7
    58           rather       24   0.013       2.9
   201          society       24   0.013       3.9
   409           dinner       24   0.013       3.8
  1212           return       24   0.013       3.1
  2448          company       22   0.012       4.5
   170            visit       21   0.012       2.6
   833     satisfaction       21   0.012       3.8
  1628              set       21   0.012       3.5
  1248          evening       19   0.011       1.8
  1887             gave       18   0.010       2.1
  1979           seeing       18   0.010       1.9
  2024            spent       18   0.010       3.6
   964             able       17   0.009       1.9
   989        surprised       17   0.009       2.6
  1931           longer       17   0.009       2.2
  2026             less       17   0.009       1.5
   769           almost       16   0.009       1.7
  1040           humour       16   0.009       2.9
  1621        everybody       16   0.009       2.3
  1703          absence       16   0.009       2.8
  2481          comfort       16   0.009       2.6
    68            while       15   0.008       1.3
   159             full       15   0.008       3.2
   450        attention       15   0.008       1.4
   358            these       14   0.008       1.3

TOPIC 18  (total count=1704)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   510               de       39   0.023       5.9
   741           bourgh       38   0.022       5.8
  1553            years       34   0.020       5.5
  2505         thousand       34   0.020       5.6
  1036          fortune       24   0.014       3.5
  2067             four       24   0.014       3.8
  2389           pounds       24   0.014       4.7
  1982          husband       23   0.013       2.9
  2548             wife       23   0.013       3.0
  2784        daughters       23   0.013       2.9
  2208             year       22   0.013       3.8
   573           cousin       21   0.012       2.7
  2305           living       21   0.012       4.1
   916             five       20   0.012       3.3
  1509             life       20   0.012       2.3
  1643              son       20   0.012       4.0
  2203           estate       20   0.012       4.3
   579          settled       19   0.011       2.4
   220           within       18   0.010       2.8
   769           almost       18   0.010       2.0
   593           twenty       17   0.010       3.9
   296    neighbourhood       16   0.009       2.7
  1699         daughter       16   0.009       1.3
  1903         children       16   0.009       3.0
  2371          between       16   0.009       1.6
  1058             fine       15   0.009       2.4
  1295             late       14   0.008       3.0
  1379              ten       14   0.008       2.2
  1546             like       14   0.008       1.2
  2489        gentleman       14   0.008       1.9

TOPIC 19  (total count=1752)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1463             upon       62   0.035       6.7
  1856            means       35   0.020       4.3
    80             sort       31   0.017       4.7
   675            speak       31   0.017       3.4
   893          opinion       31   0.017       3.4
  2597           person       27   0.015       3.4
   692             girl       24   0.013       3.6
   626             part       23   0.013       2.6
  1313           nature       23   0.013       4.5
  1814           depend       23   0.013       4.6
  2591             whom       23   0.013       2.1
   125         yourself       22   0.012       2.8
   290           honour       22   0.012       3.1
  1509             life       22   0.012       2.6
  1059             find       21   0.012       2.4
  1387          perhaps       21   0.012       2.0
   383        therefore       20   0.011       1.9
  1980           likely       20   0.011       2.9
  2286         greatest       20   0.011       4.3
   611          brought       19   0.011       2.8
  1519            world       19   0.011       1.9
    45           anyone       18   0.010       3.4
   603            place       18   0.010       1.7
   958           called       18   0.010       2.5
   785           things       17   0.010       2.9
   253           afraid       16   0.009       2.3
  1088           motive       16   0.009       3.7
  2334              off       16   0.009       1.6
  1036          fortune       15   0.008       2.1
  1502            under       15   0.008       2.3

DOC 0
TOPIC    COUNT    PROB
----------------------
