
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
   558           manage        7   0.017       2.5
   667            stood        7   0.017       2.5
    15            times        6   0.014       2.3
    86              eye        6   0.014       2.1
   145            seven        6   0.014       2.3
   441             find        6   0.014       1.0
   642             shan        6   0.014       2.3
   221           number        5   0.012       2.1

TOPIC 14  (total count=419)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   856          perhaps       17   0.040       3.8
    80            where       15   0.035       3.6
   660              mad       15   0.035       3.6
   669              may       13   0.030       3.4
   156             many       12   0.028       3.2
   277           pigeon       12   0.028       3.2
   765              try       12   0.028       3.2
   484         remarked       10   0.023       2.9
   493          lessons       10   0.023       2.9
   624            doesn       10   0.023       2.2
   625            hurry       10   0.023       2.8
   713         thinking       10   0.023       2.8
   139      interrupted        9   0.021       2.8
   407             want        9   0.021       2.8
   444           matter        9   0.021       2.8
   240           enough        8   0.019       1.6
   460              bit        8   0.019       1.7
   500           reason        8   0.019       2.5
    11          treacle        7   0.016       2.5
   152             draw        7   0.016       2.5
   154         yourself        7   0.016       2.0
   209          lobster        7   0.016       2.5
   582            puppy        7   0.016       2.5
   683            learn        7   0.016       2.5
   770           hardly        7   0.016       1.8
   103       understand        6   0.014       2.3
   227          trouble        6   0.014       2.3
   499         politely        6   0.014       2.3
   678             deal        6   0.014       1.5
   803           repeat        6   0.014       2.1

DOC 0
TOPIC    COUNT    PROB
----------------------
    7        1   0.440

hole(7) 

DOC 1
TOPIC    COUNT    PROB
----------------------
    1        2   0.382
    0        1   0.200
    5        1   0.200

beginning(1) tired(1) sitting(0) sister(5) 

DOC 2
TOPIC    COUNT    PROB
----------------------
    6        2   0.382
    1        1   0.200
   10        1   0.200

bank(1) having(10) twice(6) peeped(6) 

DOC 3
TOPIC    COUNT    PROB
----------------------
    9        3   0.564
    5        1   0.200

book(9) sister(5) reading(9) pictures(9) 

DOC 4
TOPIC    COUNT    PROB
----------------------
    9        3   0.689

use(9) book(9) pictures(9) 

DOC 5
TOPIC    COUNT    PROB
----------------------
   11        1   0.440

conversation(11) 

DOC 6
TOPIC    COUNT    PROB
----------------------
    7        2   0.467
    6        1   0.244

considering(7) own(6) mind(7) 

DOC 7
TOPIC    COUNT    PROB
----------------------
    2        4   0.631
    4        1   0.169

hot(4) feel(2) sleepy(2) stupid(2) whether(2) 

DOC 8
TOPIC    COUNT    PROB
----------------------
    0        2   0.382
   14        2   0.382

making(0) worth(14) trouble(14) getting(0) 

DOC 9
TOPIC    COUNT    PROB
----------------------
   11        1   0.314
   12        1   0.314

suddenly(12) ran(11) 

DOC 10
TOPIC    COUNT    PROB
----------------------
    9        1   0.440

close(9) 

DOC 11
TOPIC    COUNT    PROB
----------------------
   12        1   0.440

nor(12) 

DOC 12
TOPIC    COUNT    PROB
----------------------
    2        1   0.314
    4        1   0.314

hear(2) itself(4) 

DOC 13
TOPIC    COUNT    PROB
----------------------
    8        1   0.440

late(8) 

DOC 14
TOPIC    COUNT    PROB
----------------------
    2        1   0.440

ought(2) 

DOC 15
TOPIC    COUNT    PROB
----------------------
    6        2   0.467
    7        1   0.244

natural(6) took(7) watch(6) 

DOC 16
TOPIC    COUNT    PROB
----------------------
    4        2   0.600

pocket(4) hurried(4) 

DOC 17
TOPIC    COUNT    PROB
----------------------
    4        1   0.244
    8        1   0.244
   13        1   0.244

feet(4) across(13) mind(8) 

DOC 18
TOPIC    COUNT    PROB
----------------------
    6        2   0.382
   10        1   0.200
   12        1   0.200

seen(12) either(10) pocket(6) watch(6) 

DOC 19
TOPIC    COUNT    PROB
----------------------
   13        2   0.382
    4        1   0.200
   11        1   0.200

take(13) curiosity(4) ran(11) across(13) 

DOC 20
TOPIC    COUNT    PROB
----------------------



DOC 21
TOPIC    COUNT    PROB
----------------------
    7        1   0.314
   10        1   0.314

hole(7) under(10) 

DOC 22
TOPIC    COUNT    PROB
----------------------
    7        2   0.600

