<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<Imre Nagy, PERSON>
<Nina Petrovna Kukharchuk, PERSON>
<Harold Macmillan, PERSON>
<Austria, LOCATION>
<Jr, PERSON>
<Mao Zedong, PERSON>
<Vladislav Zubok, PERSON>
<Paris Summit, LOCATION>
<Boleslaw Bierut, PERSON>
<Akademgorodok, PERSON>
<US, LOCATION>
<Roswell Garst, PERSON>
<Sergei Khrushchev, PERSON>
<Warsaw, LOCATION>
<MTS, ORGANIZATION>
<Elena, PERSON>
<Scandinavia, LOCATION>
<Turkish-Soviet, LOCATION>
<Semyon Timoshenko, PERSON>
<Charles de Gaulle, PERSON>
<Zhivago, PERSON>
<Pastukhov, LOCATION>
<Kharkov, LOCATION>
<Czars, ORGANIZATION>
<White Army, ORGANIZATION>
<Pittsburgh, LOCATION>
<Dmitri Shepilov, PERSON>
<Stalin Industrial Academy, ORGANIZATION>
<KGB, ORGANIZATION>
<East Germany, LOCATION>
<Rostov Region, ORGANIZATION>
<Dad, PERSON>
<Beria, LOCATION>
<Chinese, LOCATION>
<Warsaw Pact, ORGANIZATION>
<Lavrentiy Beria, PERSON>
<Boris Pasternak, PERSON>
<China, LOCATION>
<Yefrosinia Pisareva, PERSON>
<Lenin, PERSON>
<Aleksandr Fursenko, PERSON>
<Beijing, LOCATION>
<Eleanor Roosevelt, PERSON>
<Joseph Stalin, PERSON>
<Kremlin Wall, LOCATION>
<Turkey, LOCATION>
<Party committee, ORGANIZATION>
<Iowa State University, ORGANIZATION>
<Manhattan, LOCATION>
<Hungarian Party, ORGANIZATION>
<Georgia, LOCATION>
<DC, LOCATION>
<Ksenia Khrushcheva, PERSON>
<Novosibirsk Maths and Science Boarding-School, ORGANIZATION>
<Hungary, LOCATION>
<USSR Communist Party, ORGANIZATION>
<Secret Speech, ORGANIZATION>
<Red Army, ORGANIZATION>
<Fidel Castro, PERSON>
<Yuzovka, LOCATION>
<Romanian Communist Party congress, ORGANIZATION>
<Aleksandr Solzhenitsyn, PERSON>
<Los Angeles, LOCATION>
<Western Russia, LOCATION>
<France, LOCATION>
<Vyacheslav Molotov, PERSON>
<Allen Dulles, PERSON>
<Budapest, LOCATION>
<Massachusetts, LOCATION>
<Alexei Adzubei, PERSON>
<Southwest Front, ORGANIZATION>
<Central Powers, ORGANIZATION>
<Kiev, LOCATION>
<Mark Frankland, PERSON>
<Belgrade, LOCATION>
<Klement Gottwald, PERSON>
<Lazar Kaganovich, PERSON>
<United Kingdom, LOCATION>
<Dwight Eisenhower, PERSON>
<Bolsheviks, ORGANIZATION>
<American, LOCATION>
<Petrograd, LOCATION>
<Hungarians, LOCATION>
<Tolya, PERSON>
<Komsomol, LOCATION>
<Vienna, LOCATION>
<Nikita Sergeyevich Khrushchev, PERSON>
<Council of Ministers, ORGANIZATION>
<Western Siberia, LOCATION>
<Franklin Roosevelt, PERSON>
<Helsinki, LOCATION>
<Balkans, LOCATION>
<Novosibirsk, LOCATION>
<Krasnopresnensky, LOCATION>
<Poznan, LOCATION>
<William Taubman, PERSON>
<Mongolia, LOCATION>
<Rutchenkovo, LOCATION>
<6th World Festival of Youth, ORGANIZATION>
<Timiryazev Agricultural Academy, ORGANIZATION>
<Charles E. Bohlen, PERSON>
<Pitsunda, LOCATION>
<Uranus, LOCATION>
<Donbas, LOCATION>
<Kennedy Administration, ORGANIZATION>
<Port Arthur, LOCATION>
<Donbas, ORGANIZATION>
<Soviet-Yugoslav, LOCATION>
<Lyndon Johnson, PERSON>
<Irina, LOCATION>
<Electric Power Stations, ORGANIZATION>
<Yulia, PERSON>
<Harry Schwartz, PERSON>
<UN, ORGANIZATION>
<John F. Kennedy, PERSON>
<Donetsk, LOCATION>
<New York City, LOCATION>
<American National Exhibition, ORGANIZATION>
<Roy Medvedev, PERSON>
<Kalinovka, PERSON>
<Anastas Mikoyan, PERSON>
<Northern Kazakhstan, LOCATION>
<Washington, LOCATION>
<Hyde Park, LOCATION>
<Suez, ORGANIZATION>
<New Economic Policy, ORGANIZATION>
<Demyan Korotchenko, PERSON>
<Lord Hailsham, PERSON>
<Bauman district, LOCATION>
<Brezhnev, LOCATION>
<Nadezhda Alliluyeva, PERSON>
<Gosbank, LOCATION>
<Marshal Zhukov, PERSON>
<Petrovo-Marinsky, LOCATION>
<Cuban, LOCATION>
<Lydia Shevchenko, PERSON>
<Leon Trotsky, PERSON>
<Long Island, LOCATION>
<Kaganovich, ORGANIZATION>
