<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<Samuel Beckett, PERSON>
<North American Free Trade Agreement, ORGANIZATION>
<D.C., LOCATION>
<David Rubenstein, PERSON>
<Vietnam Veterans Memorial, ORGANIZATION>
<Maine, LOCATION>
<Florida, LOCATION>
<Arkansas House of Representatives, ORGANIZATION>
<EDS, ORGANIZATION>
<Asian, LOCATION>
<Paris, LOCATION>
<CNN, ORGANIZATION>
<Pat Choate, PERSON>
<Bill Clements, PERSON>
<H. Ross Perot , Jr., PERSON>
<Magna Carta, ORGANIZATION>
<Jerry Brown, PERSON>
<Forbes, PERSON>
<Jack Gargan, PERSON>
<United States Naval Academy, ORGANIZATION>
<James Stockdale, PERSON>
<Medicare, ORGANIZATION>
<Suzanne, PERSON>
<Turkey, LOCATION>
<Mitt Romney, PERSON>
<Texarkana, LOCATION>
<Richard Crenna, PERSON>
<George H.W. Bush, PERSON>
<Minnesota, LOCATION>
<Hamilton Jordan, LOCATION>
<Pat Buchanan, PERSON>
<Eagle Scout, ORGANIZATION>
<Perot Systems Corporation , Inc., ORGANIZATION>
<John Hospers, PERSON>
<Patty Hill, PERSON>
<Jesse Ventura, PERSON>
<Foreign Ministry, ORGANIZATION>
<Time Magazine, ORGANIZATION>
<National Press Club, ORGANIZATION>
<U.S., LOCATION>
<Select Committee, ORGANIZATION>
<Margot Birmingham, LOCATION>
<Republican, ORGANIZATION>
<United States Navy, ORGANIZATION>
<Electronic Data Systems, ORGANIZATION>
<Richard Armitage, PERSON>
<Texas High School, ORGANIZATION>
<National Archives, ORGANIZATION>
<U.S. Congress, ORGANIZATION>
<Simons, PERSON>
<Texas, LOCATION>
<Margot Birmingham, PERSON>
<Mexico, LOCATION>
<Stand America, LOCATION>
<George Wallace, PERSON>
<Detroit, LOCATION>
<Perots, ORGANIZATION>
<Dallas, LOCATION>
<Maya Lin, PERSON>
<Greensburg, LOCATION>
<Carlyle Group, ORGANIZATION>
<Theodore Roosevelt, PERSON>
<Washington, LOCATION>
<NAACP, ORGANIZATION>
<Eagles, LOCATION>
<Pennsylvania, LOCATION>
<Plano, LOCATION>
<New York, LOCATION>
<Ventura, ORGANIZATION>
<General Motors, ORGANIZATION>
<Larry King Live, PERSON>
<NAFTA, LOCATION>
<Al Gore, PERSON>
<Texas War on Drugs Committee, ORGANIZATION>
<Hayes McClerkin, PERSON>
<Arthur D., PERSON>
<Carolyn, PERSON>
<Gabriel Ross Perot, PERSON>
<U.S. Department of Defense, ORGANIZATION>
<Clinton, PERSON>
<London, LOCATION>
<John Hagelin, PERSON>
<North Vietnam, LOCATION>
<United States, LOCATION>
<Dell, ORGANIZATION>
<Scott Barnes, PERSON>
<Arkansas, LOCATION>
<New York Stock Exchange, ORGANIZATION>
<Rome, LOCATION>
<Environmental Protection Agency, ORGANIZATION>
<Strom Thurmond, PERSON>
<Utah, LOCATION>
<Philadelphia, LOCATION>
<Henry Ross Perot, PERSON>
<Ford, ORGANIZATION>
<John Anderson, PERSON>
<H. Ross Perot, PERSON>
<Greenwich, LOCATION>
<Southern, ORGANIZATION>
<Taiwan, LOCATION>
<Michael Dukakis, PERSON>
<Dallas, LOCATION>
<U.S. Naval Reserve, ORGANIZATION>
<Donald Rumsfeld, PERSON>
<John Ellis, PERSON>
<Republican Party for Harris County, ORGANIZATION>
<Barry Goldwater, PERSON>
<Massachusetts, LOCATION>
<Milton, LOCATION>
<South, LOCATION>
<West Texas, LOCATION>
<Commerce, ORGANIZATION>
<Kansas, LOCATION>
<John McCain, PERSON>
<Andover, LOCATION>
<Electoral College, ORGANIZATION>
<George Bush School of Government and Public Service, ORGANIZATION>
<North, LOCATION>
<Pete DuPont, PERSON>
<Arab-Israeli, LOCATION>
<New Hampshire, LOCATION>
<U.S., LOCATION>
<Madrid Conference, LOCATION>
<NAFTA, LOCATION>
<Paul Eggers, PERSON>
<Air Group, ORGANIZATION>
<Bernard Shaw, PERSON>
<Caspar Weinberger, PERSON>
<Connecticut, LOCATION>
<US Congress, ORGANIZATION>
<Barbara Pierce, PERSON>
<Advanced International Affairs and Homeland Security, ORGANIZATION>
<William Jefferson, PERSON>
<Nashua Telegraph, ORGANIZATION>
<Malta, LOCATION>
<Air Medals, ORGANIZATION>
<Iran, LOCATION>
<Andrew Rosenthal, PERSON>
<US Liaison Office, ORGANIZATION>
<National Italian American Foundation, ORGANIZATION>
<Brent Scowcroft, PERSON>
<Vietnam, LOCATION>
<Mr. Greene, PERSON>
<Rice University, ORGANIZATION>
<Clair E. George, PERSON>
<Barack Obama, PERSON>
<Nicaragua, LOCATION>
<Madeleine Albright, PERSON>
<Republic of China, LOCATION>
<Medal of Freedom, ORGANIZATION>
<House Ways and Means Committee, ORGANIZATION>
<Duane R. Clarridge, PERSON>
<Prescott Sheldon Bush, PERSON>
<Robert J. Morris, PERSON>
<Babe Ruth, PERSON>
<Katrina, PERSON>
<Pauline Robinson Bush, PERSON>
<Iraqi, LOCATION>
<Canada, LOCATION>
<François Mitterrand, PERSON>
<Ronald Reagan Freedom Award, ORGANIZATION>
<Panamanian, LOCATION>
<NAFTA, ORGANIZATION>
<Maine, LOCATION>
<USS San Jacinto, LOCATION>
<Illinois, LOCATION>
<Strategic Arms Reduction Treaty, ORGANIZATION>
<Census Bureau, ORGANIZATION>
<Committee of the First International Bank in Houston, ORGANIZATION>
<Middle Eastern, ORGANIZATION>
<Dr. Condoleezza Rice, PERSON>
<Kennebunkport, LOCATION>
<George Will, PERSON>
<Chichijima, PERSON>
<Marvin Pierce Bush, PERSON>
<Dan Quayle, PERSON>
<Saudi Arabia, LOCATION>
<Jack Crichton, PERSON>
<Barbara Bush, PERSON>
<Elizabeth II, PERSON>
<American, LOCATION>
<USSR, ORGANIZATION>
<A&M University in College Station, ORGANIZATION>
<United States Courts of Appeals, ORGANIZATION>
<Pat Robertson, PERSON>
<Norfolk Navy Base, ORGANIZATION>
<Nancy Reagan, PERSON>
<Howard Baker, PERSON>
<Pledge of Allegiance, ORGANIZATION>
<John G. Tower, PERSON>
<Mediterranean, LOCATION>
<Zapata Petroleum Corporation, ORGANIZATION>
<Indianapolis, LOCATION>
<Republican National Committee, ORGANIZATION>
<Phillips Academy, ORGANIZATION>
<Willie Horton, PERSON>
<Air Force, ORGANIZATION>
<Moscow, LOCATION>
<Bachelor of Arts, ORGANIZATION>
<Asian, LOCATION>
<William White, PERSON>
<Walter Mondale, PERSON>
<John Breene, PERSON>
<Kuwaiti, LOCATION>
<Elliott Abrams, PERSON>
<Pacific, LOCATION>
<George H. W. Bush, PERSON>
<United States of America, LOCATION>
<Gerald Ford, PERSON>
<Florida Keys, LOCATION>
<Phil Crane, PERSON>
<Margaret Thatcher, PERSON>
<Baghdad, LOCATION>
<Bill Clinton, PERSON>
<Permian Basin, LOCATION>
<Mikhail Gorbachev, PERSON>
<Cheney, PERSON>
<Hellmuth, PERSON>
<East, LOCATION>
<Berlin Wall, LOCATION>
<Yale University, ORGANIZATION>
<Boston Globe, ORGANIZATION>
<Democratic, ORGANIZATION>
<New York Times, ORGANIZATION>
<Robert C. McFarlane, PERSON>
<Herbert Hoover, PERSON>
<Beverly Hills, LOCATION>
<Brian Mulroney, PERSON>
<Central Intelligence, ORGANIZATION>
<Houston, LOCATION>
<Torpedo Squadron, ORGANIZATION>
<Philippine Sea, LOCATION>
<Saddam Hussein, PERSON>
<Al Gore, PERSON>
<Indian Ocean, LOCATION>
<Saddam Husein, PERSON>
<Boston Harbor, LOCATION>
<Dwight D. Eisenhower, PERSON>
<Lawrence Walsh, PERSON>
<Jack Kemp, PERSON>
<Obata, ORGANIZATION>
<FBI, ORGANIZATION>
<Zapata Offshore Company, ORGANIZATION>
<Fidel Castro, PERSON>
<Dorothy Walker Bush, PERSON>
<Richard Bruce, PERSON>
<Bonin Islands, LOCATION>
<Supreme Court, ORGANIZATION>
<Public Service Administration, ORGANIZATION>
<House of Representatives, ORGANIZATION>
<Senate Judiciary Committee, ORGANIZATION>
<Delta Kappa Epsilon, ORGANIZATION>
<United Nations Security Council, ORGANIZATION>
<Capitol Hill, LOCATION>
<Ralph W. Yarborough, PERSON>
<Nixon, PERSON>
<Geraldine Ferraro, PERSON>
<John Delaney, PERSON>
<Dan Rather, PERSON>
<Alan G. Fiers Jr., PERSON>
<John J. Sweeney, PERSON>
<NARA, ORGANIZATION>
<US Navy, ORGANIZATION>
<Pearl Harbor, LOCATION>
<Persian Gulf, LOCATION>
<Norman Schwarzkopf, PERSON>
<D.C. Bush, PERSON>
<Jimmy Carter, PERSON>
<International Economics and Development, ORGANIZATION>
<Church Committee, ORGANIZATION>
<Administrative Science, ORGANIZATION>
<Nelson Rockefeller, ORGANIZATION>
<Brown Brothers Harriman, ORGANIZATION>
<CIA, ORGANIZATION>
<Midland, LOCATION>
<MPIA, ORGANIZATION>
<New York, LOCATION>
<Ronald Reagan, PERSON>
<Fahd, PERSON>
<Mrs. Bush, PERSON>
<Museum, LOCATION>
<Kuwait City, LOCATION>
<Tennessee, LOCATION>
<west, LOCATION>
<DCI, ORGANIZATION>
<Frank Briscoe, PERSON>
<CBS, ORGANIZATION>
<George Herbert Walker Bush, PERSON>
<Bob Dole, PERSON>
<Jr., LOCATION>
<Soviet Union, LOCATION>
<California, LOCATION>
<Carlos M. Gutierrez, PERSON>
<Queens, LOCATION>
<United States Navy, ORGANIZATION>
<Lloyd Bentsen, PERSON>
<Guillermo Endara, PERSON>
<Philippines, LOCATION>
<Arizona, LOCATION>
<Milton, PERSON>
<Neil Mallon Bush, PERSON>
<Dorothy Bush Koch, PERSON>
<European, LOCATION>
<Pat Buchanan, PERSON>
<Delaware, LOCATION>
<Islamorada, LOCATION>
<Washington, LOCATION>
<Jones School of Business, ORGANIZATION>
<Corpus Christi, LOCATION>
<Iowa, LOCATION>
<GOP, ORGANIZATION>
<Manuel Noriega, PERSON>
<Mexico, LOCATION>
<Dresser Industries, ORGANIZATION>
<White House, ORGANIZATION>
<Jeb Bush, PERSON>
<John B. Connally, PERSON>
<Longview, LOCATION>
<Arab-Israeli, ORGANIZATION>
<District of Texas, LOCATION>
<Martin Van Buren, PERSON>
<National Security Affairs, ORGANIZATION>
<USA, LOCATION>
<Iraqi Intelligence Service, ORGANIZATION>
<George H.W. Bush, PERSON>
<Reagan-Bush, PERSON>
<George Bush Presidential Library, ORGANIZATION>
<Kitty, PERSON>
<Claudia Alta Taylor, PERSON>
<Detroit, LOCATION>
<Volkswagen Type, ORGANIZATION>
<Atlantic City, LOCATION>
<South Vietnam, LOCATION>
<Nashville, LOCATION>
<Mississippi Freedom Democratic Party, ORGANIZATION>
<Latin America, LOCATION>
<Naval Reserve, ORGANIZATION>
<Virginia, LOCATION>
<Truman Committee, ORGANIZATION>
<Cairo, LOCATION>
<Treasury, ORGANIZATION>
<Bayard Rustin, PERSON>
<Boston Globe, ORGANIZATION>
<Watts, LOCATION>
<Israeli, LOCATION>
<Army, ORGANIZATION>
<Pedernales River, LOCATION>
<Ernest McFarland, PERSON>
<JFK, LOCATION>
<Lyndon B. Johnson Runway, PERSON>
<Bob McNamara, PERSON>
<Coke Stevenson, ORGANIZATION>
<W. Marvin Watson, PERSON>
<NASA, ORGANIZATION>
<University of Texas, ORGANIZATION>
<Eugene McCarthy, PERSON>
<Hussein, PERSON>
<Pennsylvania, LOCATION>
<Henry Cabot Lodge, PERSON>
<Mexican, LOCATION>
<Dealey Plaza, LOCATION>
<Jim Wells County, LOCATION>
<LBJ, ORGANIZATION>
<The University Star, ORGANIZATION>
<Brazil, LOCATION>
<Joseph Biden, PERSON>
<Middle America, LOCATION>
<Eisaku Sato, PERSON>
<U.S. 6th Fleet, ORGANIZATION>
<Sam Rayburn, PERSON>
<Dallas, LOCATION>
<San Marcos, LOCATION>
<Thurgood Marshall, PERSON>
<Tom Johnson, PERSON>
<Stuart Symington, PERSON>
<Christadelphian, LOCATION>
<New Jersey, LOCATION>
<East Front, ORGANIZATION>
<Catholic, ORGANIZATION>
<Newark, LOCATION>
<Earl Warren, PERSON>
<Tonkin, LOCATION>
<Democratic Caucus, ORGANIZATION>
<Robert Caro, PERSON>
<Southern Democrats, ORGANIZATION>
<Juan Bosch, PERSON>
<Ulysses S. Grant, PERSON>
<North Carolina, LOCATION>
<Arthur M. Schlesinger, PERSON>
<Franklin D. Roosevelt, PERSON>
<Robert McNamara, PERSON>
<Sen. Robert F. Kennedy, PERSON>
<Lyndon Baines Johnson, PERSON>
<US, LOCATION>
<Herman, PERSON>
<Lyndon Baines Johnson Library, ORGANIZATION>
<Sam Houston High School, ORGANIZATION>
<Walter Cronkite, PERSON>
<Hoc Committee for Science, ORGANIZATION>
<U.S. Navy, ORGANIZATION>
<Wisconsin, LOCATION>
<Houston, LOCATION>
<Supreme Court, ORGANIZATION>
<Gettysburg, LOCATION>
<Pearsall High School, ORGANIZATION>
<South Dakota, LOCATION>
<Franklin Delano Roosevelt, PERSON>
<North Vietnam, LOCATION>
<William Knowland, PERSON>
<Truman Administration, ORGANIZATION>
<Dr. George Davis, PERSON>
<W. Lee, PERSON>
<Civil Rights Bill, ORGANIZATION>
<Georgia, LOCATION>
<Bobby Baker, PERSON>
<Hubert Humphrey, PERSON>
<Alabama, LOCATION>
<Presidential Medal of Freedom, ORGANIZATION>
<Robert Baker, PERSON>
<Taylor Branch, ORGANIZATION>
<Chicago, LOCATION>
<Welly Hopkins, PERSON>
<Billy Graham, PERSON>
<Great Society, ORGANIZATION>
<Warren Commission, ORGANIZATION>
<Secret Service, ORGANIZATION>
<The College Star, ORGANIZATION>
<South West Pacific, LOCATION>
<Lucia, PERSON>
<Mississippi, LOCATION>
<LBJ, LOCATION>
<Gulf of Tonkin Resolution, ORGANIZATION>
<Adlai Stevenson, PERSON>
<Silver Stars, ORGANIZATION>
<Bexar County, LOCATION>
<Public Broadcasting, ORGANIZATION>
<International Trade and Investment, ORGANIZATION>
<O'Neill, PERSON>
<Michael Dukakis, PERSON>
<West Germany, LOCATION>
<Black Panthers, ORGANIZATION>
<O'Daniel, PERSON>
<NATO, ORGANIZATION>
<Howard University, ORGANIZATION>
<Truman Library, ORGANIZATION>
<Karnack, LOCATION>
<Washington, LOCATION>
<Air Force, ORGANIZATION>
<African American, LOCATION>
<New Hampshire, LOCATION>
<Johnson Ranch, ORGANIZATION>
<San Antonio, LOCATION>
<Louisiana, LOCATION>
<Republican Party, ORGANIZATION>
<Missouri, LOCATION>
<East Mediterranean, LOCATION>
<Judge Sarah T. Hughes, PERSON>
<Abe Fortas, PERSON>
<American Dream, ORGANIZATION>
<Johnson Presidential Library, ORGANIZATION>
<Congressional, ORGANIZATION>
<San Francisco, LOCATION>
<Nixon, ORGANIZATION>
<American Independent Party, ORGANIZATION>
<Arkansas, LOCATION>
<Jimmy Carter, PERSON>
<Minnesota, LOCATION>
<Khe Sanh, LOCATION>
<D.C., LOCATION>
<Jim Crow, PERSON>
<U.S. Senate, ORGANIZATION>
<Southwest Pacific, ORGANIZATION>
<Tennessee, LOCATION>
<Luci Baines, PERSON>
<Baylor University, ORGANIZATION>
<Gibraltar, LOCATION>
<Walter Reuther, PERSON>
<John Fitzgerald Kennedy, PERSON>
<James Allred, PERSON>
<Brown Brothers, ORGANIZATION>
<Welhausen Mexican School, ORGANIZATION>
<Democratic party, ORGANIZATION>
<Sam Houston Johnson, PERSON>
<Senate Armed Services Committee, ORGANIZATION>
<Lee Harvey Oswald, PERSON>
<Luis Salas, PERSON>
<George Washington Baines, PERSON>
<Los Angeles, LOCATION>
<Lloyd Bentsen, PERSON>
<Hanoi, LOCATION>
<Connecticut, LOCATION>
<Pacific Fleet, ORGANIZATION>
<Harvard University, ORGANIZATION>
<House Sam Rayburn, ORGANIZATION>
<School of Public Affairs, ORGANIZATION>
<ESEA, ORGANIZATION>
<Josefa, PERSON>
<Tom Daschle, PERSON>
<Temple, ORGANIZATION>
<Cabinet, ORGANIZATION>
<Southwest Texas State Teachers ' College, ORGANIZATION>
<Rebekah Baines Johnson, PERSON>
<Viola Liuzzo, PERSON>
<Fannie Lou Hamer, PERSON>
<Committee on Equal Employment Opportunities, ORGANIZATION>
<Lyndon Baines Johnson Memorial Grove, ORGANIZATION>
<Speaker Rayburn, PERSON>
<United States, LOCATION>
<Syrians, LOCATION>
<Roy Wilkins, PERSON>
<Little Beagle Johnson, PERSON>
<Robert Dallek, PERSON>
<FBI, ORGANIZATION>
<George C. Wallace, PERSON>
<George Romney, PERSON>
<Federal Communications Commission, ORGANIZATION>
<Richard M. Kleberg, PERSON>
<Lynda Bird, PERSON>
<New Deal, LOCATION>
<John Tower, PERSON>
<United States Department of Education, ORGANIZATION>
<John F. Kennedy, PERSON>
<Harry Reid, PERSON>
<U.S., LOCATION>
<MFDP, ORGANIZATION>
<United Auto Workers, ORGANIZATION>
<New York Times, ORGANIZATION>
<Harry S. Truman, PERSON>
<John B. Connally, PERSON>
<New York, LOCATION>
<Austin-Bergstrom International Airport, LOCATION>
<Martin Luther King , Jr., PERSON>
<William A. Blakley, PERSON>
<João Goulart, PERSON>
<Samuel Ealy Johnson, PERSON>
<J. J. Pickle, PERSON>
<Ronald Reagan, PERSON>
<Alexei Kosygin, PERSON>
<Senate Rules Committee, ORGANIZATION>
<Barry Goldwater, PERSON>
<Hawaii, LOCATION>
<Richard J. Daley, PERSON>
<Roosevelt, LOCATION>
<James Polk Johnson, PERSON>
<Richard Nixon, PERSON>
<Lae, LOCATION>
<National Security Council, ORGANIZATION>
<CBS, ORGANIZATION>
<Robert Z. Lawrence, PERSON>
<WPA, ORGANIZATION>
<Moscow, LOCATION>
<Whitman Rostow, PERSON>
<Texas National Youth Administration, ORGANIZATION>
<Richard Russell, PERSON>
<National City Christian Church, ORGANIZATION>
<British, LOCATION>
<Shapiro, PERSON>
<Naval Affairs Committee, ORGANIZATION>
<Frank W. Mayborn, PERSON>
<South Carolina, LOCATION>
<Nelson Rockefeller, ORGANIZATION>
<Moon, LOCATION>
<Christadelphian Church, ORGANIZATION>
<Kennedy, LOCATION>
<Naval Affairs committee, ORGANIZATION>
<Stonewall, LOCATION>
<Johnson City High School, LOCATION>
<National Endowment for the Humanities, ORGANIZATION>
<La Salle County, LOCATION>
<Humphrey, LOCATION>
<Arizona, LOCATION>
<Rebekah, ORGANIZATION>
<Joe Lieberman, PERSON>
<Egypt, LOCATION>
<National Endowment for the Arts, ORGANIZATION>
<Potomac, LOCATION>
<France, LOCATION>
<South Texas, LOCATION>
<West Coast, LOCATION>
<Massachusetts, LOCATION>
<Paris, LOCATION>
<James Forrestal, PERSON>
<Johnson White House, ORGANIZATION>
<Pearsall, LOCATION>
<New Guinea, LOCATION>
<Cotulla, LOCATION>
<John Nance Garner, PERSON>
<Dwight D. Eisenhower, PERSON>
<Harlem, LOCATION>
<Democratic State Central Committee, ORGANIZATION>
<Armed Forces Inaugural Committee, ORGANIZATION>
<Europe, LOCATION>
<George S. McGovern, PERSON>
<Dominican Republic, LOCATION>
<Bible, ORGANIZATION>
<Australia, LOCATION>
<Operation Texas, LOCATION>
<Jacobs, PERSON>
<Dean Rusk, PERSON>
<Al Gore, PERSON>
<Medicare, ORGANIZATION>
<Bess, PERSON>
<Douglas MacArthur, PERSON>
<Texas State University, ORGANIZATION>
<George H. W. Bush, PERSON>
<Theodore Roosevelt, PERSON>
<Republic of Ireland, LOCATION>
<Sr., LOCATION>
<Kathleen, PERSON>
<County Wexford, LOCATION>
<Liverpool, LOCATION>
<Allen Dulles, PERSON>
<Michael D. Healy, PERSON>
<Canterbury School, ORGANIZATION>
<Adlai Stevenson, PERSON>
<AMA, ORGANIZATION>
<Economics Club, ORGANIZATION>
<U.N., ORGANIZATION>
<Florida, LOCATION>
<Title IV, ORGANIZATION>
<Gore Vidal, PERSON>
<Éamon de Valera, PERSON>
<Walt Whitman Rostow, PERSON>
<Seneca, LOCATION>
<Choate School, ORGANIZATION>
<D.C., LOCATION>
<Noble, PERSON>
<Saigon, LOCATION>
<Palm Beach, LOCATION>
<Indiana, LOCATION>
<Rafael Trujillo, PERSON>
<Saint Anselm College, ORGANIZATION>
<Philip C. Wehle, PERSON>
<University of Mississippi, ORGANIZATION>
<James Webb, PERSON>
<Muckers Club, ORGANIZATION>
<Estes Kefauver, PERSON>
<Moscow, LOCATION>
<Electoral College, ORGANIZATION>
<Abdul Salam Arif, PERSON>
<Dept. of Defense, ORGANIZATION>
<Kennedy Administration, LOCATION>
<American University, ORGANIZATION>
<Jackie Kennedy, PERSON>
<New Georgia, LOCATION>
<Eleanor Roosevelt, PERSON>
<Joseph Mendenhall, PERSON>
<Hubert Humphrey, PERSON>
<Oval, LOCATION>
<Iowa, LOCATION>
<Peter Bent Brigham Hospital, ORGANIZATION>
<Baptist Church, ORGANIZATION>
<James Hood, PERSON>
<Wallingford, LOCATION>
<Arlington, LOCATION>
<Los Angeles, LOCATION>
<Special Forces, ORGANIZATION>
<Choiseul Island, LOCATION>
<Dean Rusk, PERSON>
<NATO, ORGANIZATION>
<Southeast Asia, LOCATION>
<Victor Feguer, PERSON>
<Nicholas Katzenbach, PERSON>
<Ralph Yarborough, PERSON>
<Dwight D. Eisenhower, PERSON>
<Moon, LOCATION>
<South America, LOCATION>
<France, LOCATION>
<Charles Reich, PERSON>
<Minh, LOCATION>
<Birmingham, LOCATION>
<Central Intelligence Agency, ORGANIZATION>
<Fidel Castro, PERSON>
<Mississippi, LOCATION>
<Protestant, ORGANIZATION>
<Forrest Lindley, PERSON>
<Mimi Beardsley Alford, PERSON>
<Joseph P. Kennedy, PERSON>
<Poland, LOCATION>
<Jr., LOCATION>
<Averell Harriman, PERSON>
<Luis Muñoz Marín, PERSON>
<Robert Sargent Shriver, PERSON>
<Ted Sorenson, PERSON>
<Jacqueline Bouvier, PERSON>
<Beersheba, LOCATION>
<Panama, LOCATION>
<Alabama National Guard, ORGANIZATION>
<Ministers Vietnam Committee, ORGANIZATION>
<House Rules Committee, ORGANIZATION>
<Wisconsin, LOCATION>
<Nebraska, LOCATION>
<South Vietnamese, LOCATION>
<U.S. Marshals, ORGANIZATION>
<New Frontier, ORGANIZATION>
<Edward Devotion School, ORGANIZATION>
<Presidential Commission, ORGANIZATION>
<Japan, LOCATION>
<District of Columbia, LOCATION>
<George Wallace, PERSON>
<Douglas MacArthur, PERSON>
<Maryland, LOCATION>
<Terris Award, LOCATION>
<Solomon Islands, LOCATION>
<General Douglas MacArthur, ORGANIZATION>
<Robert McNamara, PERSON>
<Chappaquiddick, LOCATION>
<Patrick Bouvier Kennedy, PERSON>
<Joe Jr., PERSON>
<Seymour Hersh, PERSON>
<Phuoc Vinh, PERSON>
<Ngo Dinh Diem, PERSON>
<David Ben-Gurion, PERSON>
<John J Cavanaugh, PERSON>
<U.K., LOCATION>
<Mary Pinchot Meyer, PERSON>
<American Campaign Medal, ORGANIZATION>
<Ted Sorensen, PERSON>
<Sr., ORGANIZATION>
<Duong Van Minh a\/k\/a, PERSON>
<Dept. of Justice, ORGANIZATION>
<House of Representatives, ORGANIZATION>
<Wayne Morse, PERSON>
<Gunilla, PERSON>
<Communists, ORGANIZATION>
<Princeton University, ORGANIZATION>
<Area Redevelopment Administration, ORGANIZATION>
<UK, LOCATION>
<Minnesota, LOCATION>
<Military District of Washington, ORGANIZATION>
<Sec, LOCATION>
<Latin America, LOCATION>
<Janet Travell, PERSON>
<Pope John XXIII, PERSON>
<New Milford, LOCATION>
<Marilyn Monroe, PERSON>
<Maxwell D. Taylor, PERSON>
<Marine Corps Medal, ORGANIZATION>
<Lyndon B. Johnson, PERSON>
<South Pacific, LOCATION>
<French, LOCATION>
<James Michael Curley, PERSON>
<Dunganstown, LOCATION>
<Benson, PERSON>
<Republican Henry Cabot Lodge, ORGANIZATION>
<American Civil Liberties Union, ORGANIZATION>
<London, LOCATION>
<Massachusetts, LOCATION>
<Bureau of Budget, ORGANIZATION>
<American Irish Foundation, ORGANIZATION>
<Pearl Harbor, LOCATION>
<Eisenhower Administration, ORGANIZATION>
<NSAM, ORGANIZATION>
<White House, ORGANIZATION>
<Jack Ruby, PERSON>
<Irish American, LOCATION>
<Harry F. Byrd, PERSON>
<U.S.S.R., ORGANIZATION>
<Mary Josephine Hannon Fitzgerald, PERSON>
<West Germany, LOCATION>
<Connecticut, LOCATION>
<Archives of Surgery, ORGANIZATION>
<East Berlin, LOCATION>
<Cuban, LOCATION>
<Pondfield Road, LOCATION>
<National Security Council, ORGANIZATION>
<Kirk LeMoyne, PERSON>
<U.S. Space Council, ORGANIZATION>
<LSE, ORGANIZATION>
<Dean Acheson, PERSON>
<Lawrence Freedman, PERSON>
<Balkans, LOCATION>
<Brown v. Board of Education, ORGANIZATION>
<Cannes, LOCATION>
<NSC, ORGANIZATION>
<Nikita Khruschev, PERSON>
<Seneca, PERSON>
<U.S. Senate, ORGANIZATION>
<Humphrey, ORGANIZATION>
<Senate Select Committee, ORGANIZATION>
<Franklin D. Roosevelt, PERSON>
<John Fitzgerald Kennedy, PERSON>
<Greenough Lower School, ORGANIZATION>
<African American Civil Rights Movement, ORGANIZATION>
<Andrei Gromyko, PERSON>
<Victor Krulak, PERSON>
<Congress, ORGANIZATION>
<Cabinet Room, ORGANIZATION>
<Stanford Graduate School of Business, ORGANIZATION>
<Commonwealth, ORGANIZATION>
<William Howard Taft, PERSON>
<Soviet Union, LOCATION>
<NPT, ORGANIZATION>
<SCLC, ORGANIZATION>
<Dimona, ORGANIZATION>
<Bechtel, ORGANIZATION>
<Boston, LOCATION>
<FBI, ORGANIZATION>
<McCarthy, ORGANIZATION>
<West Berlin, LOCATION>
<Green Beret, LOCATION>
<CIA, ORGANIZATION>
<V.P. Nguyen Ngoc Tho, PERSON>
<U.S.S.R. Kennedy, LOCATION>
<Ho Chi Minh, PERSON>
<Stuart Symington, PERSON>
<HSCA, ORGANIZATION>
<Paris, LOCATION>
<Dexter School, ORGANIZATION>
<Stars and Stripes, ORGANIZATION>
<earth, LOCATION>
<Labor and Management Field, ORGANIZATION>
<Oregon, LOCATION>
<Tel Aviv, LOCATION>
<Harry S. Truman, PERSON>
<APS, ORGANIZATION>
<N.Y., LOCATION>
<Irish Department of Justice, ORGANIZATION>
<United States, LOCATION>
<Chester Bowles, PERSON>
<George St. John, PERSON>
<Motor Torpedo Boat PT-59, ORGANIZATION>
<John Connally, PERSON>
<Edward Lansdale, PERSON>
<Carl Albert, PERSON>
<London School of Economics, ORGANIZATION>
<Canterbury, LOCATION>
<George Washington, PERSON>
<Martin Luther King , Jr., PERSON>
<Edward M. Kennedy, PERSON>
<Oliver Stone, PERSON>
<NASA, ORGANIZATION>
<Tennessee, LOCATION>
<Medgar Evers, PERSON>
<Ben-Gurion, ORGANIZATION>
<Vaughn Meader, PERSON>
<Brookline, LOCATION>
<Addison, ORGANIZATION>
<Office of Naval Intelligence, ORGANIZATION>
<James Meredith, PERSON>
<Pentagon Papers, ORGANIZATION>
<Nhu, LOCATION>
<Caroline Bouvier Kennedy, PERSON>
<Charles L. Bartlett, PERSON>
<Texas, LOCATION>
<Rochester, LOCATION>
<Organization of American States, ORGANIZATION>
<Black Jack, PERSON>
<Motor Torpedo Boat PT-109, ORGANIZATION>
<Alliance of Progress, ORGANIZATION>
<Herbert Hoover, PERSON>
<Earth, LOCATION>
<New Ross, LOCATION>
<Green Beret, ORGANIZATION>
<New Republic, LOCATION>
<Mobil, ORGANIZATION>
<Asian, LOCATION>
<The New York Times, ORGANIZATION>
<International Atomic Energy Agency, ORGANIZATION>
<United States Supreme Court, ORGANIZATION>
<Munich, LOCATION>
<JFK, LOCATION>
<First Family, ORGANIZATION>
<Iraq, LOCATION>
<Dallas, LOCATION>
<Vienna, LOCATION>
<Harold Holt, PERSON>
<Naval Service, ORGANIZATION>
